DES_PIANO_TARIFFARIO_BILLING;DES_MACRO_STATO;CICLO_VITA_SIM_gg;gg_DA_ULTIMA_CHIAMATA;gg_DA_ULTIMA_RICARICA;DES_CANALE_VENDITA;MINUTI_FEB;MINUTI_GEN;MINUTI_DIC;VIDEO_FEB;VIDEO_GEN;VIDEO_DIC;MESSAGGI_FEB;MESSAGGI_GEN;MESSAGGI_DIC;WEB_FEB;WEB_GEN;WEB_DIC
TuaMatic;1;457;28;365;SHOP IN SHOP;MEDIO;MEDIO;ALTO;BASSO;BASSO;BASSO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;442;67;64;FRANCHISING;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;0;691;23;365;SHOP IN SHOP;MEDIO;BASSO;BASSO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
SuperTua;0;685;17;218;SHOP IN SHOP;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
SuperTua;1;641;37;365;NATIONAL CHAIN;MOLTO ALTO;ALTO;BASSO;BASSO;BASSO;BASSO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;631;34;365;GDO;ALTO;MEDIO;ALTO;BASSO;MEDIO;BASSO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;0;402;8;330;SHOP IN SHOP;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;390;23;365;SHOP IN SHOP;BASSO;BASSO;MOLTO ALTO;BASSO;MEDIO;ALTO;BASSO;BASSO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;390;13;365;FRANCHISING;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO;MEDIO;MEDIO;MEDIO;BASSO;BASSO;BASSO
TuaMatic;1;391;16;365;GDO;ALTO;ALTO;MEDIO;BASSO;MEDIO;MEDIO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
SuperTua;1;421;59;60;SHOP IN SHOP;MOLTO ALTO;MOLTO ALTO;MOLTO ALTO;MEDIO;BASSO;BASSO;ALTO;ALTO;ALTO;BASSO;BASSO;BASSO
TuaMatic;0;662;25;365;FRANCHISING;BASSO;BASSO;BASSO;BASSO;MEDIO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
TuaMatic;1;661;42;63;FRANCHISING;BASSO;BASSO;BASSO;MEDIO;ALTO;MEDIO;BASSO;BASSO;BASSO;BASSO;BASSO;BASSO
